ID usuario,Tiempo creacion de certificado,Tiempo ACT,Tiempo Total,Tiempo Real,,
150,117,56,191,-1,,
151,110,55,179,-1,,
152,110,56,179,-1,,
153,110,57,182,-1,,
154,115,57,187,-1,,
155,114,56,186,-1,,
156,113,55,184,-1,,
157,113,57,184,-1,,
158,110,59,183,-1,,
159,113,55,184,-1,,
160,112,55,182,-1,,
161,111,59,183,-1,,
162,111,68,195,-1,,
163,113,56,184,-1,,
164,121,58,201,-1,,
165,113,58,187,-1,,
166,116,56,190,-1,,
167,113,59,188,-1,,
168,112,59,184,-1,,
169,110,54,178,-1,,
170,112,57,182,-1,,
171,121,57,194,-1,,
172,114,55,184,-1,,
173,109,56,180,-1,,
174,113,56,181,-1,,
175,111,56,184,-1,,
176,113,57,183,-1,,
177,113,58,186,-1,,
178,111,56,181,-1,,
179,116,56,189,-1,,
180,115,57,187,-1,,
181,116,57,184,-1,,
182,112,57,179,-1,,
183,111,57,184,-1,,
184,111,58,183,-1,,
185,111,61,185,-1,,
186,112,56,184,-1,,
187,110,57,182,-1,,
188,112,56,181,-1,,
189,114,61,189,-1,,
190,124,58,197,-1,,
191,111,57,184,-1,,
192,116,55,184,-1,,
193,112,58,186,-1,,
194,116,56,191,-1,,
195,112,56,183,-1,,
196,111,58,185,-1,,
197,111,56,188,-1,,
198,114,63,192,-1,,
199,114,83,211,-1,,
200,119,66,203,-1,,
201,111,55,187,-1,,
202,115,62,191,-1,,
203,115,58,186,-1,,
204,110,69,197,-1,,
205,114,55,187,-1,,
206,112,55,180,-1,,
207,112,57,190,-1,,
208,112,57,182,-1,,
209,113,55,182,-1,,
210,112,54,184,-1,,
211,113,57,184,-1,,
212,115,56,188,-1,,
213,113,57,183,-1,,
214,114,56,188,-1,,
215,79,25,117,-1,,
216,114,55,182,-1,,
217,112,57,184,-1,,
218,113,56,191,-1,,
219,112,56,191,-1,,
220,113,59,187,-1,,
221,110,55,177,-1,,
222,111,56,182,-1,,
223,111,58,183,-1,,
224,114,59,188,-1,,
225,110,63,186,-1,,
226,111,57,180,-1,,
227,116,57,186,-1,,
228,112,56,181,-1,,
229,110,59,180,-1,,
230,111,57,188,-1,,
231,111,56,184,-1,,
232,112,58,186,-1,,
233,112,54,190,-1,,
234,115,55,181,-1,,
235,116,54,182,-1,,
236,114,55,187,-1,,
237,110,55,181,-1,,
238,113,55,184,-1,,
239,109,57,183,-1,,
240,110,58,183,-1,,
241,110,57,182,-1,,
242,118,61,196,-1,,
243,117,56,191,-1,,
244,112,59,185,-1,,
245,120,65,200,-1,,
246,112,59,192,-1,,
247,114,56,184,-1,,
248,110,56,180,-1,,
249,113,60,188,-1,,
250,110,57,184,-1,,
251,113,57,186,-1,,
252,112,57,184,-1,,
253,111,63,188,-1,,
254,130,56,200,-1,,
255,110,62,193,-1,,
256,116,57,190,-1,,
257,129,63,206,-1,,
258,112,56,183,-1,,
259,112,58,182,-1,,
260,113,57,186,-1,,
261,111,56,184,-1,,
262,111,56,184,-1,,
263,111,59,185,-1,,
264,111,55,181,-1,,
265,111,59,185,-1,,
266,120,63,202,-1,,
267,110,56,186,-1,,
268,111,60,189,-1,,
269,120,54,187,-1,,
270,112,56,182,-1,,
271,117,57,189,-1,,
272,116,58,184,-1,,
273,125,57,194,-1,,
274,111,58,195,-1,,
275,111,56,183,-1,,
276,111,60,188,-1,,
277,115,57,188,-1,,
278,112,59,183,-1,,
279,110,58,185,-1,,
280,110,57,183,-1,,
281,110,56,182,-1,,
282,113,67,196,-1,,
283,117,59,195,-1,,
284,113,58,186,-1,,
285,112,56,182,-1,,
286,111,55,182,-1,,
287,112,56,183,-1,,
288,115,56,187,-1,,
289,112,56,186,-1,,
290,111,57,182,-1,,
291,116,57,188,-1,,
292,112,58,182,-1,,
293,111,56,212,-1,,
294,111,58,184,-1,,
295,114,57,186,-1,,
296,111,56,181,-1,,
297,118,57,190,-1,,
298,114,55,181,-1,,
299,114,57,190,-1,,
300,114,60,188,-1,,
301,113,58,187,-1,,
302,113,57,184,-1,,
303,114,55,186,-1,,
304,113,57,187,-1,,
305,113,56,190,-1,,
306,117,62,196,-1,,
307,113,56,182,-1,,
308,119,57,192,-1,,
309,130,56,201,-1,,
310,117,56,189,-1,,
311,113,72,200,-1,,
312,120,76,214,-1,,
313,140,59,214,-1,,
314,111,57,185,-1,,
315,113,56,185,-1,,
316,113,58,185,-1,,
317,109,56,180,-1,,
318,111,57,185,-1,,
319,113,57,184,-1,,
320,112,57,183,-1,,
321,120,57,195,-1,,
322,123,55,192,-1,,
323,110,54,177,-1,,
324,111,57,185,-1,,
325,110,57,181,-1,,
326,112,57,186,-1,,
327,114,56,186,-1,,
328,116,56,186,-1,,
329,125,57,196,-1,,
330,117,57,189,-1,,
331,112,62,190,-1,,
332,111,59,186,-1,,
333,112,60,184,-1,,
334,123,61,196,-1,,
335,111,58,187,-1,,
336,112,59,187,-1,,
337,109,56,177,-1,,
338,112,56,184,-1,,
339,112,57,186,-1,,
340,113,55,207,-1,,
341,111,54,181,-1,,
342,110,55,182,-1,,
343,111,61,186,-1,,
344,113,55,180,-1,,
345,112,56,183,-1,,
346,114,56,183,-1,,
347,111,57,183,-1,,
348,110,57,182,-1,,
349,127,56,197,-1,,
350,112,57,187,-1,,
351,110,57,183,-1,,
352,119,57,189,-1,,
353,110,55,179,-1,,
354,113,56,180,-1,,
355,110,56,179,-1,,
356,110,57,180,-1,,
357,108,59,181,-1,,
358,113,55,179,-1,,
359,110,54,181,-1,,
360,110,55,178,-1,,
361,108,56,177,-1,,
362,108,57,177,-1,,
363,117,56,184,-1,,
364,115,60,188,-1,,
365,110,56,181,-1,,
366,112,56,183,-1,,
367,114,57,185,-1,,
368,112,56,183,-1,,
369,112,57,183,-1,,
370,116,57,187,-1,,
371,112,56,182,-1,,
372,113,57,182,-1,,
373,110,55,179,-1,,
374,109,59,181,-1,,
375,115,57,187,-1,,
376,111,61,187,-1,,
377,112,58,190,-1,,
378,110,57,186,-1,,
379,114,61,193,-1,,
380,115,57,186,-1,,
381,110,58,181,-1,,
382,114,55,186,-1,,
383,112,63,191,-1,,
384,126,57,195,-1,,
385,110,56,181,-1,,
386,117,56,186,-1,,
387,112,57,184,-1,,
388,110,54,181,-1,,
389,112,56,183,-1,,
390,121,56,200,-1,,
391,121,58,191,-1,,
392,119,61,194,-1,,
393,127,59,203,-1,,
394,113,57,190,-1,,
395,113,56,184,-1,,
396,111,56,181,-1,,
397,111,55,182,-1,,
398,114,57,184,-1,,
399,118,56,189,-1,,
,133.1088608,228.278481,202.1594937,,,
