ID usuario,Tiempo creacion de certificado,Tiempo ACT,Tiempo Total,Tiempo Real,
88,149,97,267,-1,
89,139,60,216,-1,
90,121,57,198,-1,
91,116,56,188,-1,
92,111,56,183,-1,
93,114,56,186,-1,
94,114,56,185,-1,
95,109,57,184,-1,
96,120,58,197,-1,
97,109,57,179,-1,
98,110,59,184,-1,
99,110,57,183,-1,
100,117,63,203,-1,
101,116,60,201,-1,
102,110,62,189,-1,
103,114,57,191,-1,
104,112,56,184,-1,
105,142,62,218,-1,
106,115,56,187,-1,
107,113,56,186,-1,
108,112,57,188,-1,
109,111,57,181,-1,
110,115,58,188,-1,
111,119,60,194,-1,
112,122,56,199,-1,
113,115,58,193,-1,
114,117,56,189,-1,
115,115,58,184,-1,
116,113,64,196,-1,
117,123,89,228,-1,
118,182,83,294,-1,
119,127,80,235,-1,
120,308,72,404,-1,
121,245,116,444,-1,
122,218,61,330,-1,
123,135,78,248,-1,
124,134,87,257,-1,
125,139,68,238,-1,
126,134,56,207,-1,
127,117,57,194,-1,
128,113,58,188,-1,
129,118,64,200,-1,
130,112,56,188,-1,
131,133,82,236,-1,
132,160,115,334,-1,
133,227,75,376,-1,
134,156,80,269,-1,
135,126,61,239,-1,
136,114,62,198,-1,
137,120,58,197,-1,
138,158,76,293,-1,
139,143,60,224,-1,
140,113,59,191,-1,
141,112,58,190,-1,
142,113,58,185,-1,
143,109,58,192,-1,
144,113,57,184,-1,
145,113,57,187,-1,
146,113,58,185,-1,
147,111,57,184,-1,
148,117,55,188,-1,
149,119,58,193,-1,
150,114,56,187,-1,
151,111,61,188,-1,
152,114,56,186,-1,
153,130,83,244,-1,
155,131,63,220,-1,
156,144,330,594,-1,
157,198,106,539,-1,
158,172,77,364,-1,
159,123,57,205,-1,
160,118,82,216,-1,
161,129,66,221,-1,
162,136,64,230,-1,
163,119,71,217,-1,
164,115,62,199,-1,
165,111,62,196,-1,
166,129,70,224,-1,
167,167,70,261,-1,
168,131,67,236,-1,
169,208,64,303,-1,
170,150,72,259,-1,
171,191,65,296,-1,
172,159,114,308,-1,
173,138,66,230,-1,
174,188,106,322,-1,
175,282,93,733,-1,
176,118,67,217,-1,
177,114,61,191,-1,
178,112,56,180,-1,
179,121,58,196,-1,
180,113,55,184,-1,
181,117,56,187,-1,
182,133,65,233,-1,
183,112,66,198,-1,
184,207,71,298,-1,
185,200,74,367,-1,
186,150,304,536,-1,
187,140,64,228,-1,
188,134,163,332,-1,
189,239,89,367,-1,
190,175,76,276,-1,
191,119,64,211,-1,
192,117,65,196,-1,
193,91,64,184,-1,
194,190,82,326,-1,
195,164,124,314,-1,
196,389,88,558,-1,
197,208,80,375,-1,
198,116,58,197,-1,
199,114,60,199,-1,
200,142,65,228,-1,
201,130,64,240,-1,
202,185,80,309,-1,
203,165,70,289,-1,
154204,201,84,396,-1,
205,191,66,292,-1,
206,111,56,188,-1,
207,111,57,183,-1,
208,115,57,191,-1,
209,111,57,181,-1,
210,116,57,188,-1,
211,111,77,211,-1,
212,127,60,203,-1,
213,116,58,187,-1,
214,110,58,183,-1,
215,121,63,201,-1,
216,110,56,179,-1,
217,117,56,185,-1,
218,113,56,183,-1,
219,136,76,230,-1,
220,123,62,201,-1,
221,111,55,181,-1,
222,118,56,188,-1,
223,115,55,185,-1,
224,110,56,179,-1,
225,110,58,182,-1,
226,116,56,184,-1,
227,113,57,182,-1,
228,112,56,180,-1,
229,110,62,187,-1,
230,109,56,183,-1,
231,112,57,182,-1,
232,111,62,185,-1,
233,116,59,191,-1,
234,110,57,180,-1,
235,110,56,179,-1,
236,114,55,180,-1,
237,112,57,184,-1,
238,112,56,183,-1,
239,114,56,186,-1,
240,124,58,211,-1,
241,110,54,184,-1,
242,122,56,194,-1,
243,111,57,184,-1,
244,88,59,163,-1,
245,112,56,179,-1,
246,122,56,204,-1,
247,114,60,189,-1,
248,51,19,84,-1,
249,111,59,186,-1,
250,113,54,183,-1,
251,111,56,179,-1,
252,110,59,181,-1,
253,113,54,180,-1,
254,114,58,188,-1,
255,125,54,200,-1,
256,125,56,194,-1,
257,112,55,181,-1,
258,109,63,209,-1,
259,123,63,204,-1,
260,119,57,186,-1,
261,113,55,180,-1,
262,91,58,249,-1,
263,85,60,159,-1,
264,115,57,187,-1,
265,54,27,96,-1,
266,110,59,191,-1,
267,84,56,157,-1,
268,120,57,191,-1,
269,112,58,184,-1,
270,111,56,182,-1,
271,97,66,181,-1,
272,80,20,117,-1,
273,116,59,189,-1,
274,120,61,201,-1,
275,117,55,195,-1,
276,115,58,189,-1,
277,78,59,152,-1,
278,121,60,196,-1,
279,79,21,113,-1,
280,109,66,194,-1,
281,118,59,188,-1,
282,129,55,200,-1,
283,121,57,189,-1,
284,112,56,192,-1,
285,145,65,243,-1,
286,115,53,181,-1,
287,114,121,256,-1,
288,142,59,222,-1,
289,112,68,194,-1,
290,111,64,187,-1,
291,117,61,202,-1,
292,78,60,160,-1,
293,115,57,184,-1,
294,112,55,179,-1,
295,132,74,221,-1,
296,116,56,185,-1,
297,110,55,177,-1,
298,117,58,191,-1,
299,113,57,185,-1,
300,112,58,189,-1,
301,111,57,182,-1,
302,114,56,183,-1,
303,110,57,183,-1,
304,118,55,189,-1,
305,110,59,185,-1,
306,112,62,198,-1,
307,111,67,198,-1,
308,115,59,196,-1,
309,109,59,183,-1,
310,110,54,178,-1,
311,117,66,194,-1,
312,114,60,186,-1,
313,135,59,219,-1,
314,113,56,182,-1,
315,110,58,185,-1,
316,116,56,187,-1,
317,114,58,190,-1,
318,113,55,198,-1,
319,113,55,186,-1,
320,114,56,189,-1,
321,110,60,182,-1,
322,141,56,216,-1,
323,118,56,205,-1,
324,109,58,182,-1,
325,111,56,178,-1,
326,115,57,185,-1,
327,111,59,183,-1,
328,110,57,179,-1,
329,111,56,177,-1,
330,134,56,204,-1,
331,126,61,212,-1,
332,112,55,180,-1,
333,111,57,183,-1,
334,115,56,186,-1,
335,110,60,182,-1,
336,114,56,188,-1,
337,127,58,196,-1,
338,110,55,180,-1,
339,112,54,199,-1,
340,112,55,185,-1,
341,117,62,193,-1,
342,116,55,183,-1,
343,110,59,181,-1,
344,118,61,205,-1,
345,110,54,197,-1,
346,111,70,192,-1,
347,120,57,191,-1,
348,110,55,176,-1,
349,110,60,181,-1,
350,115,55,182,-1,
351,114,55,185,-1,
352,109,58,180,-1,
353,110,56,180,-1,
354,109,56,180,-1,
355,114,55,179,-1,
356,84,56,153,-1,
357,116,56,185,-1,
358,85,18,117,-1,
359,118,57,191,-1,
360,111,54,179,-1,
361,124,53,191,-1,
362,115,64,199,-1,
363,111,58,184,-1,
364,115,55,186,-1,
365,127,58,198,-1,
366,112,55,181,-1,
367,117,57,192,-1,
368,116,64,194,-1,
369,118,57,197,-1,
370,130,57,201,-1,
371,115,57,196,-1,
372,115,90,215,-1,
373,115,66,196,-1,
374,111,54,183,-1,
375,116,57,188,-1,
376,112,57,189,-1,
377,141,57,215,-1,
378,114,57,184,-1,
379,114,60,193,-1,
380,128,55,198,-1,
381,112,55,179,-1,
382,112,58,188,-1,
383,117,57,189,-1,
384,116,60,191,-1,
385,116,57,188,-1,
386,116,57,189,-1,
387,111,56,193,-1,
388,120,55,187,-1,
389,112,56,184,-1,
390,112,60,187,-1,
391,110,55,178,-1,
392,111,61,186,-1,
393,111,55,179,-1,
394,118,57,186,-1,
395,111,56,184,-1,
396,120,57,201,-1,
397,116,55,185,-1,
398,114,57,186,-1,
399,115,55,187,-1,
,282.4483627,63.67758186,215.6146096,,
